"Program","Year","Period","Geo.Level","State","State.ANSI","Commodity","Type","Operation_Measure","Domain","Category_Type","Details","Value","CV...."
"CENSUS",2022,"YEAR","STATE","GEORGIA",13,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",41,"31.0"
"CENSUS",2022,"YEAR","STATE","HAWAII",15,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",10,"2.9"
"CENSUS",2022,"YEAR","STATE","HAWAII",15,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",8,"29.0"
"CENSUS",2022,"YEAR","STATE","HAWAII",15,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",11,"27.3"
"CENSUS",2022,"YEAR","STATE","HAWAII",15,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",4,"33.5"
"CENSUS",2022,"YEAR","STATE","IDAHO",16,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",30,"22.8"
"CENSUS",2022,"YEAR","STATE","IDAHO",16,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",32,"22.5"
"CENSUS",2022,"YEAR","STATE","IDAHO",16,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",1,"29.2"
"CENSUS",2022,"YEAR","STATE","IDAHO",16,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",72,"15.4"
"CENSUS",2022,"YEAR","STATE","IDAHO",16,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",78,"14.4"
"CENSUS",2022,"YEAR","STATE","IDAHO",16,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",10,"34.2"
"CENSUS",2022,"YEAR","STATE","ILLINOIS",17,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",175,"13.7"
"CENSUS",2022,"YEAR","STATE","ILLINOIS",17,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",208,"11.7"
"CENSUS",2022,"YEAR","STATE","ILLINOIS",17,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",33,"5.4"
"CENSUS",2022,"YEAR","STATE","ILLINOIS",17,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",154,"14.1"
"CENSUS",2022,"YEAR","STATE","ILLINOIS",17,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",184,"12.7"
"CENSUS",2022,"YEAR","STATE","ILLINOIS",17,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",52,"15.4"
"CENSUS",2022,"YEAR","STATE","INDIANA",18,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",220,"7.1"
"CENSUS",2022,"YEAR","STATE","INDIANA",18,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",262,"7.3"
"CENSUS",2022,"YEAR","STATE","INDIANA",18,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",41,"10.2"
"CENSUS",2022,"YEAR","STATE","INDIANA",18,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",223,"12.1"
"CENSUS",2022,"YEAR","STATE","INDIANA",18,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",248,"10.7"
"CENSUS",2022,"YEAR","STATE","INDIANA",18,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",47,"17.7"
"CENSUS",2022,"YEAR","STATE","IOWA",19,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",144,"16.8"
"CENSUS",2022,"YEAR","STATE","IOWA",19,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",169,"18.2"
"CENSUS",2022,"YEAR","STATE","IOWA",19,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",25,"33.8"
"CENSUS",2022,"YEAR","STATE","IOWA",19,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",126,"19.5"
"CENSUS",2022,"YEAR","STATE","IOWA",19,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",145,"18.8"
"CENSUS",2022,"YEAR","STATE","IOWA",19,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",36,"24.0"
"CENSUS",2022,"YEAR","STATE","KANSAS",20,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",27,"24.0"
"CENSUS",2022,"YEAR","STATE","KANSAS",20,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",32,"21.8"
"CENSUS",2022,"YEAR","STATE","KANSAS",20,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",5,"39.3"
"CENSUS",2022,"YEAR","STATE","KANSAS",20,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",42,"26.9"
"CENSUS",2022,"YEAR","STATE","KANSAS",20,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",49,"22.7"
"CENSUS",2022,"YEAR","STATE","KANSAS",20,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",9,"21.1"
"CENSUS",2022,"YEAR","STATE","KENTUCKY",21,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",128,"28.1"
"CENSUS",2022,"YEAR","STATE","KENTUCKY",21,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",152,"28.0"
"CENSUS",2022,"YEAR","STATE","KENTUCKY",21,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",25,"32.9"
"CENSUS",2022,"YEAR","STATE","KENTUCKY",21,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",218,"42.3"
"CENSUS",2022,"YEAR","STATE","KENTUCKY",21,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",262,"45.4"
"CENSUS",2022,"YEAR","STATE","KENTUCKY",21,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",85,"42.7"
"CENSUS",2022,"YEAR","STATE","LOUISIANA",22,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",182,"34.2"
"CENSUS",2022,"YEAR","STATE","LOUISIANA",22,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",182,"34.2"
"CENSUS",2022,"YEAR","STATE","LOUISIANA",22,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",39,"33.9"
"CENSUS",2022,"YEAR","STATE","LOUISIANA",22,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",39,"33.9"
"CENSUS",2022,"YEAR","STATE","LOUISIANA",22,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",3,"63.2"
"CENSUS",2022,"YEAR","STATE","MAINE",23,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",293,"35.3"
"CENSUS",2022,"YEAR","STATE","MAINE",23,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",371,"31.3"
"CENSUS",2022,"YEAR","STATE","MAINE",23,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",78,"18.9"
"CENSUS",2022,"YEAR","STATE","MAINE",23,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",154,"11.7"
"CENSUS",2022,"YEAR","STATE","MAINE",23,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",193,"12.5"
"CENSUS",2022,"YEAR","STATE","MAINE",23,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",94,"14.2"
"CENSUS",2022,"YEAR","STATE","MARYLAND",24,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",135,"4.8"
"CENSUS",2022,"YEAR","STATE","MARYLAND",24,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",150,"4.1"
"CENSUS",2022,"YEAR","STATE","MARYLAND",24,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",15,"27.3"
"CENSUS",2022,"YEAR","STATE","MARYLAND",24,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",129,"11.4"
"CENSUS",2022,"YEAR","STATE","MARYLAND",24,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",142,"11.3"
"CENSUS",2022,"YEAR","STATE","MARYLAND",24,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",26,"19.6"
"CENSUS",2022,"YEAR","STATE","MASSACHUSETTS",25,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",258,"11.3"
"CENSUS",2022,"YEAR","STATE","MASSACHUSETTS",25,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",303,"13.5"
"CENSUS",2022,"YEAR","STATE","MASSACHUSETTS",25,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",45,"29.6"
"CENSUS",2022,"YEAR","STATE","MASSACHUSETTS",25,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",233,"12.6"
"CENSUS",2022,"YEAR","STATE","MASSACHUSETTS",25,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",249,"9.6"
"CENSUS",2022,"YEAR","STATE","MASSACHUSETTS",25,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",70,"20.0"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",164,"10.4"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",88,"67.2"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",324,"12.5"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",714,"28.0"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",59,"10.1"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",195,"8.7"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",92,"(H)"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",115,"61.9"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",415,"11.6"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",875,"25.3"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",31,"19.3"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",27,"44.4"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",91,"11.8"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",162,"15.7"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",266,"12.0"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",93,"18.8"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",5,"(H)"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",4,"71.2"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",52,"11.7"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",420,"13.0"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",305,"11.2"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",96,"17.0"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",5,"(H)"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",4,"71.2"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",52,"11.7"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",462,"12.2"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",55,"37.1"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",43,"11.5"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",1,"(H)"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",4,"71.2"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",33,"10.8"
"CENSUS",2022,"YEAR","STATE","MICHIGAN",26,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",136,"20.3"
"CENSUS",2022,"YEAR","STATE","MINNESOTA",27,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",308,"13.7"
"CENSUS",2022,"YEAR","STATE","MINNESOTA",27,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",401,"14.8"
"CENSUS",2022,"YEAR","STATE","MINNESOTA",27,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",93,"30.2"
"CENSUS",2022,"YEAR","STATE","MINNESOTA",27,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",184,"14.2"
"CENSUS",2022,"YEAR","STATE","MINNESOTA",27,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",218,"13.2"
"CENSUS",2022,"YEAR","STATE","MINNESOTA",27,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",85,"11.0"
"CENSUS",2022,"YEAR","STATE","MISSISSIPPI",28,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",46,"24.4"
"CENSUS",2022,"YEAR","STATE","MISSISSIPPI",28,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",24,"89.2"
"CENSUS",2022,"YEAR","STATE","MISSISSIPPI",28,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",31,"65.3"
"CENSUS",2022,"YEAR","STATE","MISSISSIPPI",28,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",8,"74.1"
"CENSUS",2022,"YEAR","STATE","MISSOURI",29,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",76,"18.8"
"CENSUS",2022,"YEAR","STATE","MISSOURI",29,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",85,"17.2"
"CENSUS",2022,"YEAR","STATE","MISSOURI",29,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",10,"10.8"
"CENSUS",2022,"YEAR","STATE","MISSOURI",29,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",189,"8.0"
"CENSUS",2022,"YEAR","STATE","MISSOURI",29,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",218,"8.7"
"CENSUS",2022,"YEAR","STATE","MISSOURI",29,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",51,"10.0"
"CENSUS",2022,"YEAR","STATE","MONTANA",30,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",8,"49.6"
"CENSUS",2022,"YEAR","STATE","MONTANA",30,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",9,"43.0"
"CENSUS",2022,"YEAR","STATE","MONTANA",30,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",1,"26.8"
"CENSUS",2022,"YEAR","STATE","MONTANA",30,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",35,"21.3"
"CENSUS",2022,"YEAR","STATE","MONTANA",30,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",38,"19.0"
"CENSUS",2022,"YEAR","STATE","MONTANA",30,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",7,"38.3"
"CENSUS",2022,"YEAR","STATE","NEBRASKA",31,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",18,"25.7"
"CENSUS",2022,"YEAR","STATE","NEBRASKA",31,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",48,"47.4"
"CENSUS",2022,"YEAR","STATE","NEBRASKA",31,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",48,"47.4"
"CENSUS",2022,"YEAR","STATE","NEBRASKA",31,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",5,"78.2"
"CENSUS",2022,"YEAR","STATE","NEVADA",32,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",1,"16.3"
"CENSUS",2022,"YEAR","STATE","NEVADA",32,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",1,"16.3"
"CENSUS",2022,"YEAR","STATE","NEVADA",32,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",9,"23.6"
"CENSUS",2022,"YEAR","STATE","NEVADA",32,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",9,"23.6"
"CENSUS",2022,"YEAR","STATE","NEW HAMPSHIRE",33,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",112,"25.1"
"CENSUS",2022,"YEAR","STATE","NEW HAMPSHIRE",33,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",134,"24.7"
"CENSUS",2022,"YEAR","STATE","NEW HAMPSHIRE",33,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",22,"24.6"
"CENSUS",2022,"YEAR","STATE","NEW HAMPSHIRE",33,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",81,"26.5"
"CENSUS",2022,"YEAR","STATE","NEW HAMPSHIRE",33,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",102,"23.4"
"CENSUS",2022,"YEAR","STATE","NEW HAMPSHIRE",33,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",36,"21.7"
"CENSUS",2022,"YEAR","STATE","NEW JERSEY",34,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",233,"7.2"
"CENSUS",2022,"YEAR","STATE","NEW JERSEY",34,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",257,"7.2"
"CENSUS",2022,"YEAR","STATE","NEW JERSEY",34,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",24,"35.7"
"CENSUS",2022,"YEAR","STATE","NEW JERSEY",34,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",137,"6.3"
"CENSUS",2022,"YEAR","STATE","NEW JERSEY",34,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",146,"6.8"
"CENSUS",2022,"YEAR","STATE","NEW JERSEY",34,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",33,"12.5"
"CENSUS",2022,"YEAR","STATE","NEW MEXICO",35,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",2,"38.1"
"CENSUS",2022,"YEAR","STATE","NEW MEXICO",35,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",7,"19.4"
"CENSUS",2022,"YEAR","STATE","NEW MEXICO",35,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",5,"19.3"
"CENSUS",2022,"YEAR","STATE","NEW MEXICO",35,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",18,"47.7"
